metric	value
phase_a_train_episodes	6000
phase_b_train_episodes	2500
eval_episodes	400
symbol_swap_episodes	200
train_horizon	6
eval_horizon	6
eval_noise	0.000000
memory_cap	4096
lr_repr	0.000500
lr_inverse	0.000500
lr_reconstruct	0.000500
ewc_lambda	0.000000
ewc_probe_episodes	0
b_replay_every	1
b_replay_count	2
a_before_accuracy	0.104583
a_before_solve_rate	0.000000
a_before_delayed_success	0.000000
b_before_accuracy	0.108750
b_before_solve_rate	0.000000
symbol_swap_before	0.065000
a_after_accuracy	0.102917
a_after_solve_rate	0.000000
a_after_delayed_success	0.000000
b_after_accuracy	0.094167
b_after_solve_rate	0.000000
symbol_swap_after	0.125000
retention_ratio	0.984064
