episode	return	visited	steps	progress	died
1	-1.619998	0.020000	220	0	0
2	-1.133997	0.031111	220	0	0
3	-0.622001	0.034444	220	0	0
4	-0.474001	0.020000	220	0	0
5	-0.260001	0.018889	220	0	0
6	-0.140000	0.014444	220	0	0
7	-0.180000	0.006667	220	0	0
8	-0.202001	0.003333	220	0	0
9	-0.186001	0.003333	220	0	0
10	-0.222001	0.003333	220	0	0
11	-0.182001	0.003333	220	0	0
12	-0.180000	0.003333	220	0	0
13	-0.170000	0.002222	220	0	0
14	-0.166000	0.003333	220	0	0
15	-0.192001	0.004444	220	0	0
16	-0.226001	0.003333	220	0	0
17	-0.190001	0.003333	220	0	0
18	-0.150000	0.001111	220	0	0
19	-1.385999	0.007778	220	0	0
20	-1.219999	0.016667	220	0	0
21	-0.536001	0.020000	220	0	0
22	-0.273001	0.017778	220	1	0
23	-0.384001	0.003333	220	0	0
24	-0.282001	0.020000	220	0	0
25	-0.334001	0.017778	220	0	0
26	-0.308001	0.016667	220	0	0
27	-0.336001	0.017778	220	0	0
28	-0.728000	0.016667	220	0	0
29	-1.413999	0.004444	220	0	0
30	-1.085999	0.005556	220	0	0
31	-0.564001	0.020000	220	0	0
32	-0.260001	0.024444	220	0	0
33	-0.236001	0.033333	220	0	0
34	-0.292001	0.018889	220	0	0
35	-0.248001	0.034444	220	0	0
36	-0.236001	0.034444	220	0	0
37	-0.392001	0.003333	220	0	0
38	-0.312001	0.016667	220	0	0
39	-0.342001	0.014444	220	0	0
40	-0.342001	0.016667	220	0	0
41	-0.338001	0.017778	220	0	0
42	-0.322001	0.020000	220	0	0
43	-0.404001	0.003333	220	0	0
44	-0.310001	0.016667	220	0	0
45	-0.298001	0.021111	220	0	0
46	-0.269001	0.018889	220	1	0
47	-0.288001	0.017778	220	0	0
48	-0.344001	0.016667	220	0	0
49	-0.328001	0.017778	220	0	0
50	-0.332001	0.018889	220	0	0
